Category;Managed by;Beheerder;Name;Naam;Postal code;Municipality;Gemeente;Google Maps;Google Street View;Geo Point;Geo Shape;source;last_update
Bus;De Lijn;De Lijn;Sint-Joost-ten-Node Madou;Sint-Joost-ten-Node Madou;1210;Saint-Josse-ten-Noode;Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.84983259%2C4.36977442;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84983259%2C4.36977442;50.8498325946, 4.3697744237;"{""coordinates"": [4.3697744237, 50.8498325946], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Anderlecht Henri de Smet;Anderlecht Henri de Smet;1070;Anderlecht;Anderlecht;https://www.google.com/maps/search/?api=1&query=50.8481665%2C4.314949;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8481665%2C4.314949;50.8481664997, 4.3149490013;"{""coordinates"": [4.3149490013, 50.8481664997], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Anderlecht Birmingham;Anderlecht Birmingham;1070;Anderlecht;Anderlecht;https://www.google.com/maps/search/?api=1&query=50.84132572%2C4.31549625;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84132572%2C4.31549625;50.8413257204, 4.3154962466;"{""coordinates"": [4.3154962466, 50.8413257204], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Oudergem Hertogendal;Oudergem Hertogendal;1160;Auderghem;Oudergem;https://www.google.com/maps/search/?api=1&query=50.81758416%2C4.42098696;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.81758416%2C4.42098696;50.8175841554, 4.420986965;"{""coordinates"": [4.420986965, 50.8175841554], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Brussel Station Bockstael;Brussel Station Bockstael;1020;Bruxelles;Brussel;https://www.google.com/maps/search/?api=1&query=50.87950511%2C4.34790745;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87950511%2C4.34790745;50.8795051097, 4.3479074459;"{""coordinates"": [4.3479074459, 50.8795051097], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Anderlecht Meir;Anderlecht Meir;1070;Anderlecht;Anderlecht;https://www.google.com/maps/search/?api=1&query=50.8330849%2C4.30277234;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8330849%2C4.30277234;50.8330849038, 4.3027723403;"{""coordinates"": [4.3027723403, 50.8330849038], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Sint-Joost-ten-Node Gutenberg;Sint-Joost-ten-Node Gutenberg;1210;Saint-Josse-ten-Noode;Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.84906813%2C4.37742823;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84906813%2C4.37742823;50.8490681266, 4.3774282255;"{""coordinates"": [4.3774282255, 50.8490681266], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Jette Oude Afspanning;Jette Oude Afspanning;1090;Jette;Jette;https://www.google.com/maps/search/?api=1&query=50.88506087%2C4.31860211;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88506087%2C4.31860211;50.8850608672, 4.3186021059;"{""coordinates"": [4.3186021059, 50.8850608672], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Sint-Gillis Hallepoort Metro;Sint-Gillis Hallepoort Metro;1000;Bruxelles;Brussel;https://www.google.com/maps/search/?api=1&query=50.83381963%2C4.34325675;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83381963%2C4.34325675;50.8338196306, 4.3432567493;"{""coordinates"": [4.3432567493, 50.8338196306], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Anderlecht Debussy;Anderlecht Debussy;1070;Anderlecht;Anderlecht;https://www.google.com/maps/search/?api=1&query=50.82764207%2C4.2956973;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.82764207%2C4.2956973;50.8276420657, 4.2956972979;"{""coordinates"": [4.2956972979, 50.8276420657], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
