grid_row,grid_col,count,approx_lat,approx_lon
14,17,224,50.8289815,4.3747175
14,18,119,50.8289815,4.3782785
14,19,127,50.8289815,4.3818395
14,20,354,50.8289815,4.3854005
14,21,175,50.8289815,4.388961500000001
14,22,320,50.8289815,4.3925225
14,23,524,50.8289815,4.3960835000000005
14,25,38,50.8289815,4.4032055
14,26,118,50.8289815,4.4067665
14,27,52,50.8289815,4.4103275
14,29,7,50.8289815,4.4174495
14,32,1,50.8289815,4.4281325
14,33,24,50.8289815,4.431693500000001
14,38,106,50.8289815,4.4494985
14,39,114,50.8289815,4.4530595
14,40,73,50.8289815,4.4566205000000005
14,41,65,50.8289815,4.4601815
14,42,121,50.8289815,4.4637425
15,-15,33,50.8312285,4.260765500000001
15,-8,19,50.8312285,4.285692500000001
15,-6,38,50.8312285,4.2928145
15,-4,85,50.8312285,4.2999365
15,-3,13,50.8312285,4.303497500000001
15,-2,12,50.8312285,4.3070585
15,-1,27,50.8312285,4.3106195000000005
15,0,195,50.8312285,4.3141805
15,1,450,50.8312285,4.3177415
15,2,8,50.8312285,4.3213025
15,3,39,50.8312285,4.3248635
15,5,134,50.8312285,4.3319855
15,6,546,50.8312285,4.3355465
15,7,307,50.8312285,4.3391075
15,8,292,50.8312285,4.3426685
15,9,195,50.8312285,4.346229500000001
15,10,217,50.8312285,4.3497905
15,11,366,50.8312285,4.3533515000000005
15,12,137,50.8312285,4.3569125
15,13,567,50.8312285,4.3604735
15,14,391,50.8312285,4.3640345
15,15,876,50.8312285,4.3675955
15,16,128,50.8312285,4.3711565000000006
15,17,101,50.8312285,4.3747175
15,18,83,50.8312285,4.3782785
15,19,126,50.8312285,4.3818395
15,20,179,50.8312285,4.3854005
15,21,527,50.8312285,4.388961500000001
15,22,594,50.8312285,4.3925225
15,24,139,50.8312285,4.3996445
15,25,93,50.8312285,4.4032055
15,26,29,50.8312285,4.4067665
15,27,30,50.8312285,4.4103275
15,28,66,50.8312285,4.4138885000000005
15,29,28,50.8312285,4.4174495
15,31,24,50.8312285,4.4245715
15,34,78,50.8312285,4.4352545
15,36,39,50.8312285,4.4423765
15,38,19,50.8312285,4.4494985
15,39,174,50.8312285,4.4530595
15,40,354,50.8312285,4.4566205000000005
15,42,5,50.8312285,4.4637425
16,-8,59,50.8334755,4.285692500000001
16,-6,2,50.8334755,4.2928145
16,-5,22,50.8334755,4.2963755
16,-4,75,50.8334755,4.2999365
16,-3,76,50.8334755,4.303497500000001
16,-2,91,50.8334755,4.3070585
16,-1,100,50.8334755,4.3106195000000005
16,0,124,50.8334755,4.3141805
16,2,66,50.8334755,4.3213025
16,3,513,50.8334755,4.3248635
16,4,58,50.8334755,4.328424500000001
16,5,366,50.8334755,4.3319855
16,6,977,50.8334755,4.3355465
16,7,75,50.8334755,4.3391075
16,8,382,50.8334755,4.3426685
16,9,247,50.8334755,4.346229500000001
16,10,416,50.8334755,4.3497905
16,11,45,50.8334755,4.3533515000000005
16,12,423,50.8334755,4.3569125
16,13,26,50.8334755,4.3604735
16,14,946,50.8334755,4.3640345
16,15,393,50.8334755,4.3675955
16,16,395,50.8334755,4.3711565000000006
16,17,293,50.8334755,4.3747175
16,18,108,50.8334755,4.3782785
16,19,119,50.8334755,4.3818395
16,20,192,50.8334755,4.3854005
16,21,452,50.8334755,4.388961500000001
16,22,305,50.8334755,4.3925225
16,23,258,50.8334755,4.3960835000000005
16,24,219,50.8334755,4.3996445
16,25,288,50.8334755,4.4032055
16,26,3,50.8334755,4.4067665
16,27,409,50.8334755,4.4103275
16,30,3,50.8334755,4.4210105
16,32,2,50.8334755,4.4281325
16,33,222,50.8334755,4.431693500000001
16,35,120,50.8334755,4.4388155000000005
16,36,72,50.8334755,4.4423765
16,37,95,50.8334755,4.4459375
16,39,70,50.8334755,4.4530595
16,42,28,50.8334755,4.4637425
16,43,15,50.8334755,4.4673035
17,-11,539,50.835722499999996,4.2750095
17,-9,160,50.835722499999996,4.2821315
17,-7,284,50.835722499999996,4.2892535
17,-6,147,50.835722499999996,4.2928145
17,-5,88,50.835722499999996,4.2963755
17,-4,15,50.835722499999996,4.2999365
17,-3,364,50.835722499999996,4.303497500000001
17,-2,320,50.835722499999996,4.3070585
17,-1,347,50.835722499999996,4.3106195000000005
17,0,506,50.835722499999996,4.3141805
17,1,49,50.835722499999996,4.3177415
17,2,200,50.835722499999996,4.3213025
17,3,401,50.835722499999996,4.3248635
17,4,130,50.835722499999996,4.328424500000001
17,5,429,50.835722499999996,4.3319855
17,6,17,50.835722499999996,4.3355465
17,7,1278,50.835722499999996,4.3391075
